,Accounting and Finance Department,Accounting and Management Information Systems Department,Aerospace Engineering Department,Architectural Engineering Department,Architecture Department,Carbon Capture and Sequestration Research Center,Chemical Engineering Department,Chemistry Department,City and Regional Planning Department,Civil and Environmental Engineering Department,Civil Engineering Department,Computer Engineering Department,Construction Engineering and Management Department,Corrosion Research Excellence Center,Dammam Community College,Electrical Engineering Department,Energy Efficiency Research Excellence Center,Energy Research and Innovation Center,Engineering Research Center,English Language Department,Engn Technol Program,Environment & Water Research Center,Environment and Water Research Center,General Studies Department,Geosciences Department,Global and Social Studies Department,Graduate Studies,Hafr Al-Batin Community College,Information and Communication Technology Center,Information and Computer Science Department,Information System & Operations Management Department,Integrative Petroleum Research Center,Islamic Banking and Finance Research Excellence Center,Life Sciences Department,Management and Marketing Department,Mathematics and Statistics Department,Mechanical Engineering Department,Modeling and Computer Simulation Research Center,Nanotechnology Research Excellence Center,Petroleum Engineering Department,Physical Education Department,Physics Department,Preparatory Year Program,Projects Department,Refining & Petrochemicals Research Excellence Center,Refining and Petrochemicals Research Excellence Center,Renewable Energy Research Excellence Center,Science Research Excellence Center MIT Collaboration,Systems Engineering Department
Global and Social Studies Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hafr Al-Batin Community College,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Information and Communication Technology Center,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0
Information and Computer Science Department,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,5,0,0,1,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,1
Information System & Operations Management Department,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Integrative Petroleum Research Center,0,0,0,0,0,2,8,15,0,2,0,0,0,0,0,1,2,1,2,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,12,65,0,4,0,1,0,1,5,0,0
Islamic Banking and Finance Research Excellence Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Life Sciences Department,0,0,0,0,0,0,2,5,0,1,0,0,0,5,0,0,0,0,1,0,0,1,6,0,5,0,0,0,0,0,0,0,0,0,0,2,3,0,4,1,0,2,0,0,0,0,1,0,0
Management and Marketing Department,0,2,2,11,0,0,0,0,2,0,0,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mathematics and Statistics Department,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,8,0,0,2,0,1,10,0,0,0,0,0,2
Mechanical Engineering Department,0,1,9,1,0,10,10,22,0,1,0,1,0,50,0,17,9,9,10,0,3,1,20,0,10,0,0,0,1,1,1,6,0,3,0,8,0,0,36,14,0,14,0,0,0,5,73,2,2
Modeling and Computer Simulation Research Center,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanotechnology Research Excellence Center,0,0,1,1,0,7,107,94,0,13,0,0,0,10,0,4,0,11,18,0,0,0,27,0,2,0,0,1,0,0,0,12,0,4,0,0,36,0,0,1,0,68,0,0,0,3,16,0,1
Petroleum Engineering Department,0,0,1,0,0,0,9,2,0,0,0,2,0,3,0,2,2,1,0,0,0,0,3,0,8,0,0,0,0,1,0,65,0,1,1,2,14,0,1,0,0,1,0,0,0,0,6,0,3
Physical Education Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Physics Department,0,0,0,0,0,1,4,20,0,5,0,0,0,0,1,0,1,13,2,0,0,0,19,0,5,0,1,0,0,4,0,4,0,2,0,1,14,0,68,1,1,0,0,0,0,0,13,2,1
Preparatory Year Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Projects Department,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refining & Petrochemicals Research Excellence Center,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Refining and Petrochemicals Research Excellence Center,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,3,0,0,0,0,0,2,0,4,0,0
Renewable Energy Research Excellence Center,0,0,0,0,0,1,10,28,0,8,0,3,0,10,0,10,7,5,5,0,0,0,20,0,1,0,0,0,0,0,0,5,0,1,0,0,73,0,16,6,0,13,0,0,0,4,0,0,0
Science Research Excellence Center MIT Collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Systems Engineering Department,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,1,3,0,1,0,0,0,0,0,0,0
